order_id,order_time,driver_arrival_time,driver_pickup_time,delivery_time,order_value,eater_id,order_ready,driver_arrival_period,driver_waiting_time
65d341994,2023-01-01 06:26:00,2023-01-01 06:34:00,2023-01-01 06:36:00,2023-01-01 06:46:00,17.45,8210556811,10.0,8.0,2.0
77414ecac,2023-01-01 06:39:00,2023-01-01 06:52:00,2023-01-01 06:55:00,2023-01-01 07:08:00,1164.13,9002036820,16.0,13.0,3.0
93c13c5e4,2023-01-01 07:01:00,2023-01-01 07:19:00,2023-01-01 07:21:00,2023-01-01 07:45:00,30.69,2377480355,20.0,18.0,2.0
551aafd67,2023-01-01 07:16:00,2023-01-01 07:25:00,2023-01-01 07:35:00,2023-01-01 07:49:00,20.13,5260970237,19.0,9.0,10.0
d2bd1b12d,2023-01-01 07:19:00,2023-01-01 07:27:00,2023-01-01 07:29:00,2023-01-01 07:45:00,327.84,4854875946,10.0,8.0,2.0
4f0cd5658,2023-01-01 07:36:00,2023-01-01 07:51:00,2023-01-01 07:57:00,2023-01-01 08:18:00,17.16,5765744423,21.0,15.0,6.0
5ed5a6412,2023-01-01 07:36:00,2023-01-01 07:45:00,2023-01-01 07:53:00,2023-01-01 08:05:00,227.02,7427442262,17.0,9.0,8.0
869412f28,2023-01-01 07:39:00,2023-01-01 07:47:00,2023-01-01 07:55:00,2023-01-01 08:18:00,40.18,7021675961,16.0,8.0,8.0
c844f7e6c,2023-01-01 07:52:00,2023-01-01 08:06:00,2023-01-01 08:12:00,2023-01-01 08:31:00,748.18,7135187976,20.0,14.0,6.0
ad917e6a3,2023-01-01 08:13:00,2023-01-01 08:22:00,2023-01-01 08:25:00,2023-01-01 08:40:00,32.74,9115004562,12.0,9.0,3.0
c46a83eee,2023-01-01 08:26:00,2023-01-01 08:39:00,2023-01-01 08:45:00,2023-01-01 08:55:00,33.14,4398416658,19.0,13.0,6.0
0fbbc481d,2023-01-01 08:38:00,2023-01-01 08:52:00,2023-01-01 09:01:00,2023-01-01 09:26:00,19.85,4099772791,23.0,14.0,9.0
6ca93bd06,2023-01-01 08:38:00,2023-01-01 08:49:00,2023-01-01 08:59:00,2023-01-01 09:21:00,41.98,6487631499,21.0,11.0,10.0
ce11c4942,2023-01-01 08:39:00,2023-01-01 08:45:00,2023-01-01 08:50:00,2023-01-01 09:15:00,22.96,2331106261,11.0,6.0,5.0
10b145aee,2023-01-01 08:40:00,2023-01-01 08:50:00,2023-01-01 08:52:00,2023-01-01 09:15:00,25.8,6616336559,12.0,10.0,2.0
4d76f67f5,2023-01-01 09:06:00,2023-01-01 09:13:00,2023-01-01 09:20:00,2023-01-01 09:46:00,158.78,1997330322,14.0,7.0,7.0
251bcf0c0,2023-01-01 09:08:00,2023-01-01 09:21:00,2023-01-01 09:24:00,2023-01-01 09:44:00,44.99,5075178866,16.0,13.0,3.0
84f84cc75,2023-01-01 09:20:00,2023-01-01 09:35:00,2023-01-01 09:44:00,2023-01-01 10:13:00,10.97,9134000297,24.0,15.0,9.0
3c1601906,2023-01-01 09:38:00,2023-01-01 09:46:00,2023-01-01 09:48:00,2023-01-01 10:11:00,22.52,3036076005,10.0,8.0,2.0
3c6516b42,2023-01-01 09:43:00,2023-01-01 09:49:00,2023-01-01 09:58:00,2023-01-01 10:11:00,13.56,4898818732,15.0,6.0,9.0
0da23625a,2023-01-01 10:18:00,2023-01-01 10:33:00,2023-01-01 10:36:00,2023-01-01 10:58:00,29.04,3015524473,18.0,15.0,3.0
74778d8f6,2023-01-01 10:35:00,2023-01-01 10:44:00,2023-01-01 10:52:00,2023-01-01 11:13:00,18.9,8933232093,17.0,9.0,8.0
eabc1ed66,2023-01-01 10:50:00,2023-01-01 10:55:00,2023-01-01 10:58:00,2023-01-01 11:11:00,29.04,5916214817,8.0,5.0,3.0
5751aed40,2023-01-01 10:51:00,2023-01-01 11:00:00,2023-01-01 11:02:00,2023-01-01 11:20:00,16.93,1489516608,11.0,9.0,2.0
f6db03a7e,2023-01-01 11:08:00,2023-01-01 11:13:00,2023-01-01 11:23:00,2023-01-01 11:46:00,23.72,1346076271,15.0,5.0,10.0
3641be5ef,2023-01-01 11:40:00,2023-01-01 12:00:00,2023-01-01 12:09:00,2023-01-01 12:36:00,27.35,6925124438,29.0,20.0,9.0
1413cf074,2023-01-01 12:09:00,2023-01-01 12:22:00,2023-01-01 12:26:00,2023-01-01 12:43:00,20.1,8685138776,17.0,13.0,4.0
2623f6f00,2023-01-01 12:10:00,2023-01-01 12:15:00,2023-01-01 12:18:00,2023-01-01 12:45:00,27.65,7650115592,8.0,5.0,3.0
f29539890,2023-01-01 12:11:00,2023-01-01 12:23:00,2023-01-01 12:25:00,2023-01-01 12:54:00,20.43,5633340692,14.0,12.0,2.0
3aa7350bf,2023-01-01 12:13:00,2023-01-01 12:32:00,2023-01-01 12:42:00,2023-01-01 13:05:00,36.55,5480996113,29.0,19.0,10.0
