order_id,order_time,driver_arrival_time,driver_pickup_time,delivery_time,order_value,eater_id,order_ready,driver_arrival_period,driver_waiting_time
5e95f7827,2023-01-01 06:40:00,2023-01-01 06:49:00,2023-01-01 06:56:00,2023-01-01 07:19:00,51.46,4982802179,16.0,9.0,7.0
d70ac2841,2023-01-01 06:42:00,2023-01-01 06:49:00,2023-01-01 06:56:00,2023-01-01 07:14:00,22.11,7947821862,14.0,7.0,7.0
81c7d23ac,2023-01-01 06:47:00,2023-01-01 07:06:00,2023-01-01 07:15:00,2023-01-01 07:34:00,30.53,2574037619,28.0,19.0,9.0
438bdca53,2023-01-01 06:48:00,2023-01-01 07:07:00,2023-01-01 07:12:00,2023-01-01 07:41:00,12.29,8210255717,24.0,19.0,5.0
463ffbe87,2023-01-01 06:51:00,2023-01-01 07:11:00,2023-01-01 07:20:00,2023-01-01 07:46:00,1238.59,5263287519,29.0,20.0,9.0
72b2bda17,2023-01-01 06:52:00,2023-01-01 07:05:00,2023-01-01 07:11:00,2023-01-01 07:34:00,13.41,7426623869,19.0,13.0,6.0
fa7a4219c,2023-01-01 07:16:00,2023-01-01 07:21:00,2023-01-01 07:31:00,2023-01-01 07:43:00,17.16,6908492156,15.0,5.0,10.0
7d5f243f6,2023-01-01 07:19:00,2023-01-01 07:30:00,2023-01-01 07:36:00,2023-01-01 07:55:00,20.63,6676848928,17.0,11.0,6.0
2882cad1b,2023-01-01 07:40:00,2023-01-01 07:53:00,2023-01-01 08:01:00,2023-01-01 08:12:00,41.55,6126141502,21.0,13.0,8.0
7f4bc3b7d,2023-01-01 07:57:00,2023-01-01 08:09:00,2023-01-01 08:14:00,2023-01-01 08:41:00,10.91,3871010077,17.0,12.0,5.0
0d77ad9a1,2023-01-01 08:09:00,2023-01-01 08:15:00,2023-01-01 08:21:00,2023-01-01 08:39:00,681.55,7246135437,12.0,6.0,6.0
00538fa62,2023-01-01 08:23:00,2023-01-01 08:33:00,2023-01-01 08:39:00,2023-01-01 08:57:00,23.34,1528104351,16.0,10.0,6.0
ceccc56dd,2023-01-01 08:48:00,2023-01-01 08:55:00,2023-01-01 09:01:00,2023-01-01 09:26:00,23.22,9827258333,13.0,7.0,6.0
b02fbacc1,2023-01-01 09:14:00,2023-01-01 09:32:00,2023-01-01 09:36:00,2023-01-01 09:55:00,29.79,2933204758,22.0,18.0,4.0
da8c9b1f1,2023-01-01 09:14:00,2023-01-01 09:29:00,2023-01-01 09:35:00,2023-01-01 09:56:00,38.39,3009704456,21.0,15.0,6.0
9a3f1dab2,2023-01-01 09:18:00,2023-01-01 09:31:00,2023-01-01 09:35:00,2023-01-01 10:02:00,15.79,5182651275,17.0,13.0,4.0
8aaa01ba2,2023-01-01 09:20:00,2023-01-01 09:40:00,2023-01-01 09:47:00,2023-01-01 10:11:00,47.72,2165456466,27.0,20.0,7.0
848369677,2023-01-01 09:22:00,2023-01-01 09:28:00,2023-01-01 09:30:00,2023-01-01 09:42:00,48.8,9555919558,8.0,6.0,2.0
4a3e9b40c,2023-01-01 09:49:00,2023-01-01 10:07:00,2023-01-01 10:09:00,2023-01-01 10:34:00,24.13,5528075769,20.0,18.0,2.0
0905cc016,2023-01-01 09:51:00,2023-01-01 10:09:00,2023-01-01 10:11:00,2023-01-01 10:24:00,39.68,2752327728,20.0,18.0,2.0
b423a33d7,2023-01-01 09:55:00,2023-01-01 10:04:00,2023-01-01 10:09:00,2023-01-01 10:38:00,28.51,7047056540,14.0,9.0,5.0
d1f3c9770,2023-01-01 10:28:00,2023-01-01 10:36:00,2023-01-01 10:39:00,2023-01-01 11:04:00,391.7,8965037305,11.0,8.0,3.0
c8c826a68,2023-01-01 10:31:00,2023-01-01 10:38:00,2023-01-01 10:42:00,2023-01-01 10:58:00,1215.0,9167219362,11.0,7.0,4.0
